PULocationID,trip_count,avg_rpm,median_rpm,std_rpm,avg_revenue,avg_dist,cc_rate,airport_rate,cbd_rate,avg_tip_rate,rpm_cv
80,1010,8.991755933327052,6.434394409937889,9.514079759061877,32.85526732673267,5.28970297029703,0.9207920792079208,0.015841584158415842,0.1306930693069307,0.6290065262527006,1.0580891907662755
81,435,4.688856400873503,3.726708074534161,3.525263937697846,41.07310344827586,10.701954022988506,0.9839080459770115,0.0,0.0,0.0006210812729208565,0.7518387504981199
82,748,7.0850783371993575,5.086232530478739,5.14550111140271,34.296417112299466,6.2900935828877005,0.8743315508021391,0.0481283422459893,0.07754010695187166,0.05567073007257054,0.7262447733833612
83,339,11.704312550728027,8.03370786516854,9.34464820854488,46.39946902654867,5.54646017699115,0.8495575221238938,0.02064896755162242,0.07669616519174041,0.11788192163942986,0.7983935979190532
85,693,8.616369640418627,6.153846153846154,8.335731572433739,28.512121212121215,5.54995670995671,0.9927849927849928,0.001443001443001443,0.0,0.0008541888635650086,0.9674296624104379
86,593,4.721560262929808,3.5294117647058822,4.823756764156825,47.69443507588533,12.734991568296797,0.9966273187183811,0.0,0.0,0.0017877306788137033,1.0216446461627078
87,15857,9.56214727632833,7.325783972125435,6.442077195977944,28.403097685564735,4.220195497256732,0.900990099009901,0.013937062496058522,0.9646213028946207,0.22478350900680694,0.6737061258118973
88,9001,8.876542969009305,6.939024390243904,5.9480405383001855,30.129616709254528,4.620844350627708,0.8699033440728808,0.007665814909454505,0.9341184312854127,0.21722902895066484,0.6700852526785025
89,2114,7.575399464681629,5.714285714285714,6.951665344546542,30.255473036896877,6.1498770104068115,0.988647114474929,0.0004730368968779565,0.003784295175023652,0.0032806976216938695,0.9176632040273138
90,45562,14.366710177103926,13.072033898305087,7.221064525805908,20.659187041833107,2.071203195645494,0.8941222948948685,0.00906457135332075,0.9877090557921074,0.26613901584387933,0.5026247788664967
91,1712,7.19197514461932,5.429255711127487,6.036676994489029,30.574357476635516,6.273942757009346,0.9947429906542056,0.0,0.0011682242990654205,0.00018108005563638373,0.8393628833666607
92,556,5.404518178942144,4.157303370786517,4.212427495864779,37.49217625899281,8.804208633093525,0.9586330935251799,0.0017985611510791368,0.008992805755395683,0.007925688345227876,0.7794270194663867
93,571,8.80046183107909,7.264334305150633,7.002902394550761,66.04956217162872,9.001541155866901,0.8248686514886164,0.26970227670753066,0.26444833625218916,0.18303028954735873,0.7957426018052604
94,235,5.368946757840531,4.1558441558441555,3.2536087647446363,36.561914893617015,8.895063829787235,0.9744680851063829,0.0,0.00425531914893617,0.002475103467809514,0.6060050344126127
95,991,6.49600619176619,4.477611940298507,5.579765740214811,36.63167507568113,7.368869828456105,0.9334006054490414,0.008072653884964682,0.013118062563067608,0.02392867595144705,0.858953266899171
97,2281,8.210970977266225,6.735197368421053,6.6553751172774165,27.57939500219202,4.938180622533976,0.8939061814993424,0.0008768084173608067,0.13897413415168786,0.08994445900362566,0.8105466619848252
98,129,6.899368153068101,4.077669902912621,9.042194770136541,36.55,8.549302325581394,0.9302325581395349,0.015503875968992248,0.007751937984496124,0.0,1.3105830228983417
100,41043,14.513555756429573,12.701612903225804,8.308391331500923,22.66518042053456,2.4240669541700166,0.8410203932461078,0.01486246132105353,0.9842847745047877,0.2542218652592595,0.5724573268559819
101,127,4.545405738227147,3.5433070866141736,5.509657272924221,43.67165354330709,11.824094488188978,0.937007874015748,0.0,0.0,0.003768682760204589,1.212137615480101
102,228,6.491783668329495,5.308349146110057,3.8084764368879913,36.08078947368421,6.823859649122807,0.9605263157894737,0.021929824561403508,0.017543859649122806,0.03294754098154707,0.5866610212949397
106,305,7.616370938726494,6.267281105990784,4.4738484077383145,27.455016393442627,4.931901639344263,0.9377049180327869,0.0,0.03934426229508197,0.0438488767835073,0.5873989651673098
107,54057,13.460120629792726,12.250000000000002,6.8747741064000385,21.037577187043308,2.2187411436076734,0.8943707567937548,0.009822964648426661,0.9835913942690123,0.2563131970108568,0.5107512997456624
108,483,6.422131583638494,4.647887323943662,5.301244382514153,37.15734989648033,8.410973084886129,1.0,0.0,0.0,0.0,0.8254649275670406
112,774,7.922739641933456,6.666666666666666,5.5522913719438405,26.84136950904393,4.51577519379845,0.9186046511627907,0.0,0.23901808785529716,0.15060840442537737,0.7008044720486191
113,41115,13.654178576838587,12.55952380952381,6.410022684607205,20.646073209291014,2.0434992095342333,0.8991852122096559,0.005594065426243464,0.9942600024322024,0.26510836180802255,0.4694550205664108
114,42251,12.683401666782373,11.267123287671232,6.4774387309180845,21.219161676646706,2.247368582992119,0.9118837423966296,0.003360867198409505,0.9958817542780053,0.255453726998983,0.5107020104773937
116,2386,8.228320779007827,6.8097619047619045,5.6323138017007635,24.783067896060352,4.404346186085499,0.7883487007544007,0.006705783738474434,0.10435875943000839,0.10178309706924643,0.6845034306477182
117,696,4.445579128447413,3.706896551724138,2.668952967332445,49.35057471264368,12.758189655172416,0.9956896551724138,0.0,0.0,0.0,0.6003611431081551
119,636,6.242608330294339,4.923076923076923,3.5454583229758594,36.35361635220126,7.577154088050314,0.9622641509433962,0.0031446540880503146,0.050314465408805034,0.016046020406444025,0.5679450215978376
121,447,5.204274769616643,4.146341463414634,3.3423934914987115,35.37494407158837,8.41,0.9821029082774049,0.0,0.0,0.024707076637850236,0.6422400121938447
122,217,5.162236683631956,3.643410852713178,5.4855465278404045,41.04147465437788,10.676912442396313,0.9953917050691244,0.0,0.009216589861751152,0.001665380658436214,1.0626297986749766
123,699,7.278920240555848,6.046511627906977,4.837468342046509,30.03319027181688,5.94032904148784,0.9899856938483548,0.001430615164520744,0.0,0.0003984117551726001,0.6645859800872196
124,309,7.596914178802705,5.090909090909091,7.220797110023298,41.15990291262136,7.843915857605178,0.941747572815534,0.045307443365695796,0.009708737864077669,0.0237559492470069,0.9504908098305405
125,14192,12.63995013112257,11.179162791785835,6.745603572572808,22.74696237316798,2.579049464487035,0.905228297632469,0.01620631341600902,0.98597801578354,0.2611201594990958,0.5336732742294231
126,339,5.497425402538233,4.552238805970149,4.183442091938047,36.211946902654866,8.348613569321534,0.9705014749262537,0.0029498525073746312,0.02064896755162242,0.013849923120628738,0.7609820571656137
127,597,6.95277379413822,5.416666666666667,5.426625610951434,28.8029648241206,6.047621440536013,0.9229480737018425,0.0016750418760469012,0.006700167504187605,0.01613060052389047,0.7804979381792259
129,1239,16.471173990681333,6.08695652173913,18.72632282240078,43.3845601291364,5.30906376109766,0.8506860371267151,0.0387409200968523,0.062146892655367235,0.10706524374227537,1.1369148812947583
130,1239,5.73934622894541,4.415584415584416,4.481326085883581,42.60010492332526,9.307401129943504,0.927360774818402,0.06133979015334948,0.05972558514931396,0.042960029631319105,0.7808077622644163
131,305,5.716274257585303,3.8793103448275863,6.364890824637743,38.105803278688526,9.294655737704918,0.9770491803278688,0.0,0.0,0.002958631171902299,1.1134684127850842
132,139317,4.795558803911468,4.462209302325582,3.0148111698909417,67.84958418570598,15.155840493263565,0.7204217719302023,0.9835985558115664,0.39301018540450916,0.1947397511010248,0.6286673343327434
133,430,7.524866940428311,6.0,5.949194264770559,28.94313953488372,5.691976744186047,0.9813953488372092,0.0,0.011627906976744186,0.012433317339238593,0.7906045797046259
134,463,10.176360451942912,5.853658536585367,8.891323699088677,53.42708423326134,6.954125269978403,0.9006479481641468,0.032397408207343416,0.019438444924406047,0.08894664213303526,0.8737233455003167
135,282,5.735352369402792,4.022363818090955,6.5468606156799956,36.64042553191489,8.709999999999999,0.975177304964539,0.0035460992907801418,0.0070921985815602835,0.022928122362276312,1.1414923084074962
136,425,5.20080377093919,4.383561643835616,2.7914573881542064,35.279411764705884,8.229223529411765,0.9835294117647059,0.0,0.002352941176470588,0.004635507506408005,0.5367357645278182
137,29153,12.764348416808573,11.5234375,6.992210539806497,21.41038212190855,2.4975854972044043,0.8576818852262202,0.006002812746544095,0.9456659691969952,0.24203467233869488,0.547792203055104
138,101577,6.2599199563963825,5.854838709677419,2.2901621715928266,57.840576606909046,9.671255205410674,0.8922886086417201,0.998887543439952,0.5252665465607371,0.24634044237152092,0.3658452803781844
139,340,4.828941743299002,3.7619220637660096,3.4997318309257253,44.830882352941174,11.466088235294118,0.9823529411764705,0.0029411764705882353,0.011764705882352941,0.0019117193263823266,0.72474095090963
140,59067,12.46391547378935,11.360294117647058,6.142257479068198,20.70872551509303,2.3825740261059476,0.8783076844938799,0.004858889058188159,0.42331589550849036,0.2517847142435536,0.492803203935785
141,71665,13.882598124097273,12.444444444444443,6.996010508893267,18.503981860043258,1.882265122444708,0.881615851531431,0.005762924719179515,0.4747226679690225,0.26483465843487725,0.5039410091940689
142,102672,12.567462933656874,11.13888888888889,5.9913771365328925,19.87133288530466,2.116394343151005,0.8798503973819541,0.006291880941249805,0.5815606981455509,0.26854175942244174,0.47673720369505995
143,31488,12.506288815165538,11.085398816809466,5.998464855101906,19.15344639227642,2.0911937881097558,0.8822726117886179,0.006891514227642276,0.47888084349593496,0.26075159511928847,0.4796358810959147
144,29633,12.574715400188863,10.868644067796613,6.999098298507268,22.367964094084297,2.4222795532008234,0.8953531535787804,0.004319508655890393,0.9938244524685317,0.2476013351982555,0.5566009309763104
145,2070,10.090353446584157,7.2457998707652544,8.830931076116416,49.6754347826087,6.718357487922705,0.8251207729468599,0.0966183574879227,0.16908212560386474,0.1555057631990933,0.8751855049345088
146,1342,9.671249001376006,8.142348087021755,6.490368239464582,29.16688524590164,3.792868852459016,0.7250372578241431,0.010432190760059613,0.356929955290611,0.18247221734978747,0.6710992797870414
147,328,5.920273557756532,5.0,5.042725473383462,33.760060975609754,7.455396341463414,0.975609756097561,0.0,0.0,0.002010260193133047,0.8517723757505533
148,32016,11.467102862637853,9.725806451612902,6.6128193582846,23.12674756371814,2.8356137556221888,0.901424287856072,0.009495252373813094,0.9888180909545228,0.23910923742512086,0.5766774256321103
149,451,7.68210840007753,5.681818181818182,7.460230314065485,30.672838137472286,6.32669623059867,0.9955654101995566,0.0,0.0022172949002217295,0.0015919850727127236,0.9711175533516546
150,317,6.273195587132795,4.777777777777778,4.935299957114934,37.24274447949527,8.285078864353311,0.9873817034700315,0.0031545741324921135,0.0031545741324921135,0.019788439337396303,0.7867282134862695
151,22757,10.853954631969897,9.76,4.83662245595278,18.462643582194488,2.274236938084985,0.8428175945862811,0.007250516324647361,0.17932943709627808,0.2507968115921328,0.44560923828690957
152,1855,8.601697872382017,7.608695652173914,5.302912401832544,22.892927223719674,3.8308625336927222,0.7800539083557951,0.004851752021563342,0.13153638814016172,0.1493800379036865,0.6164960081728655
153,122,5.529261083595474,4.59016393442623,3.9919791569570298,34.527868852459015,8.160491803278688,0.9426229508196722,0.0,0.0,0.009397306499285737,0.7219733517016697
155,824,6.999078372852523,5.698051948051948,5.043370502018766,31.888167475728153,6.281723300970874,0.9902912621359223,0.0024271844660194173,0.0036407766990291263,0.0029607774365458727,0.7205763721093046
157,520,8.699035424679845,6.59138948711813,7.387586713351324,46.05438461538461,6.688615384615384,0.926923076923077,0.04423076923076923,0.19423076923076923,0.11630367611117001,0.8492420541698407
158,28174,11.912438597795553,10.912162162162161,5.542770184765749,22.86570419535742,2.521347696457727,0.9212039469013985,0.008802441967771704,0.9886065166465535,0.25148732581396643,0.465292655174018
159,830,7.164980030942229,5.625,5.046149330587967,30.446024096385543,6.185012048192772,0.9518072289156626,0.0,0.0024096385542168677,0.007463927701548241,0.7042796084282142
160,290,7.314829845837083,5.164740927965337,6.453331903178151,47.07344827586206,7.6064827586206905,0.9241379310344827,0.027586206896551724,0.020689655172413793,0.047654544293657446,0.8822258397235015
161,138223,15.030611171826562,12.961783439490446,8.494092142910441,22.898828776686948,2.294395939894229,0.881806935169979,0.013811015532870796,0.9951744644523705,0.2606657767187762,0.5651195447615465
162,106082,14.37633279614104,12.46031746031746,8.066167782697264,22.225536754586077,2.276013367017967,0.8895100016968006,0.012348937614298373,0.9944571180784676,0.2607969715673996,0.5610726947599891
163,86588,14.465944767374545,12.694444444444443,7.868988729505705,22.44842530142745,2.3333458446897954,0.8751097149720516,0.017000046195777704,0.9950339538966139,0.26444648471989557,0.5439664575004364
164,58269,14.609790557862128,12.610294117647056,8.356100370876279,22.35355746623419,2.3402025090528413,0.8775506701676706,0.017213269491496336,0.9931009627760902,0.2587802117832321,0.5719520986821757
165,857,7.862156240955242,5.813953488372094,7.1707779231883935,29.272753792298715,5.819964994165694,0.9964994165694282,0.0011668611435239206,0.0011668611435239206,0.0005558776947096618,0.9120625059363044
166,14604,9.564611342393357,8.852459016393443,4.122636098720512,20.932992330868252,2.876592029580937,0.8430566967953985,0.010408107367844427,0.17125445083538757,0.2304305129273403,0.43103017479107547
167,756,5.868314813897693,4.8686868686868685,3.5933788139011593,31.951547619047616,6.996216931216932,0.9761904761904762,0.0,0.0013227513227513227,9.542348944616208e-05,0.6123357263300029
168,1012,7.269561428387271,5.543735224586288,5.10240390085803,30.801531620553362,6.21005928853755,0.9051383399209486,0.0,0.017786561264822136,0.019036056280714968,0.7018860698987149
169,569,6.591866571501522,4.925373134328358,6.9585209026984165,33.11344463971881,7.321282952548331,0.9701230228471002,0.0017574692442882249,0.0017574692442882249,0.000463693200392285,1.055622231915622
170,80176,14.227233858703398,12.394957983193278,8.023490786618938,22.120862228098183,2.305092671123528,0.8824835362203153,0.014293554180802234,0.9842845739373378,0.25642392064027364,0.5639529697974727
171,149,5.559265462449863,4.084507042253521,7.1090916492660465,37.54765100671141,8.806778523489934,0.9664429530201343,0.0,0.0,0.0021869119016455357,1.2787825473139403
173,140,6.498428338899759,4.615384615384615,9.233815692804047,35.52914285714286,7.495,0.95,0.014285714285714285,0.04285714285714286,0.020253386840425384,1.4209306021780974
174,500,5.520266446533404,4.177865612648221,4.301435059024402,38.2019,9.182120000000001,0.974,0.0,0.01,0.0005016949604322463,0.7792078698892515
177,1284,6.768936484399905,5.319148936170213,5.942350189131568,31.05768691588785,6.474158878504673,0.9961059190031153,0.000778816199376947,0.002336448598130841,0.002943447923146497,0.8778853521268316
178,199,9.336734226555475,6.875,8.896141087193856,28.59145728643216,5.48251256281407,0.9899497487437185,0.0,0.0,0.00869159330578342,0.9528107870835086
179,669,7.986323635989633,6.486486486486486,6.149460192143111,27.05056801195815,5.04982062780269,0.726457399103139,0.0014947683109118087,0.12406576980568013,0.07941855743472699,0.7699988721257343
180,204,8.334733839973513,5.253441802252817,6.849527067955893,47.119656862745096,7.697401960784314,0.9411764705882353,0.014705882352941176,0.024509803921568627,0.06292615067954511,0.821805134928899
181,1579,7.920261696750572,6.551282051282051,5.5460766804947035,27.490449651678276,4.943147561747941,0.9189360354654845,0.0,0.07726409119696011,0.06779114846099991,0.700239069470404
182,737,5.014241991541122,4.0,4.768266932310923,36.5527815468114,9.05921302578019,0.9905020352781547,0.0,0.0,0.000622781229838723,0.9509447171386719
183,152,5.0605256696278245,3.854166666666667,5.168658044392547,40.50921052631579,10.117302631578946,1.0,0.0,0.0,0.0007955196334245529,1.0213678146943725
185,399,5.88695195616316,4.242424242424242,5.2106624002614055,36.63508771929825,8.643709273182958,0.9874686716791979,0.0,0.0,0.003072711339588326,0.8851205919569746
186,99314,14.026859224688623,12.35655737704918,7.620124127966862,23.34670338522263,2.354102342066577,0.8723644199206557,0.009062166461928832,0.9942807660551383,0.25104295437293955,0.5432523422317314
188,2194,8.038840424001389,6.1002510760401725,7.104981222837526,28.296768459434823,5.518500455788514,0.9886052871467639,0.0,0.0031905195989061076,0.0038411362937763056,0.8838316035761002
189,531,8.613163434983027,6.840000000000001,6.534788101434203,26.35638418079096,4.7517890772128055,0.9416195856873822,0.0,0.07344632768361582,0.07788983935177926,0.7586977944587301
190,141,8.429669309645265,7.268518518518517,5.7157164572864545,27.9645390070922,4.642482269503546,0.9148936170212766,0.0,0.09929078014184398,0.09324038890765976,0.6780475303754213
191,557,4.7579254355250615,3.6734693877551017,4.028897805989948,41.1467684021544,10.749210053859965,0.9874326750448833,0.0,0.005385996409335727,0.0010690939972951344,0.8467761549830465
192,130,4.988919921452386,4.051452020202021,3.2950644454141003,36.167692307692306,8.734846153846153,0.9769230769230769,0.0,0.015384615384615385,0.014676790660682174,0.6604765154167546
193,597,8.020278135921997,6.160409556313993,6.591838399571255,30.421909547738696,5.376365159128978,0.8006700167504187,0.008375209380234505,0.15577889447236182,0.0762724423596892,0.8218964838696918
