PULocationID,trip_count,avg_rpm,median_rpm,std_rpm,avg_dist,cc_rate,airport_rate,avg_tip_rate,rpm_group
24,7353,10.10097112743098,9.3182,4.298025900147092,2.543998368013056,0.8403372773017815,0.01944784441724466,0.24107624211037387,mid_rpm
25,1713,8.210585172212493,6.5795,5.886951575653626,4.8782603619381195,0.9071803852889667,0.008172796263864565,0.09478024453024453,mid_rpm
26,751,7.8358302263648465,5.8974,7.157183481499213,5.685565912117177,0.9906790945406125,0.0,0.0005475806451612903,mid_rpm
28,422,6.657242890995261,4.4172,6.636425190274748,9.426824644549763,0.909952606635071,0.08056872037914692,0.043419531250000004,mid_rpm
29,522,6.3326300766283525,4.3243,5.397096247021345,8.963793103448277,0.9923371647509579,0.0019157088122605363,0.001633976833976834,mid_rpm
32,377,4.977723607427055,4.0,2.633224171897982,9.543209549071618,1.0,0.0,0.0029355437665782493,low_rpm
33,1758,7.916586973833902,6.5529,5.621087384844187,5.163720136518771,0.8907849829351536,0.01478953356086462,0.12139750957854406,mid_rpm
34,135,9.894636296296296,7.2414,9.618665613458214,4.858518518518518,0.8666666666666667,0.014814814814814815,0.12914871794871796,mid_rpm
35,1996,7.473826803607214,5.5556,6.3879544880667485,6.181472945891783,0.998997995991984,0.001002004008016032,0.0005318455366098295,mid_rpm
36,514,7.445639494163424,5.9762,5.027932072294024,5.392256809338521,0.9494163424124513,0.0038910505836575876,0.03747151639344262,mid_rpm
37,1390,7.2480665467625895,5.6522,5.752234803959318,5.470913669064748,0.9726618705035971,0.0028776978417266188,0.018962130177514795,mid_rpm
38,267,5.385160299625468,3.7143,7.609324277835718,12.463632958801497,0.9625468164794008,0.0,0.0038486381322957197,low_rpm
39,2316,6.950389421416235,5.26125,5.383942583986919,7.001813471502591,0.9969775474956822,0.0017271157167530224,0.0006486790818536163,mid_rpm
40,344,9.2210375,7.38415,6.671143229532663,4.224883720930232,0.8459302325581395,0.0029069767441860465,0.11491168384879726,mid_rpm
41,8142,9.58694486612626,8.7202,5.72976091950195,3.2659543109801032,0.765659543109801,0.014738393515106854,0.14812017965992944,mid_rpm
42,5093,8.707813606911447,7.0,7.216922177782603,4.681592381700373,0.8321225211074024,0.007068525427056745,0.04185311467673431,mid_rpm
43,47362,12.722240312909083,11.478,5.845497686358131,2.10387040243233,0.879608124656898,0.011676027194797517,0.2584524003840615,high_rpm
45,5195,11.477134918190568,9.7258,7.312582286204746,3.4002617901828684,0.8487006737247353,0.01482194417709336,0.2159448854615559,high_rpm
47,559,5.926676744186047,4.4681,5.48142542383428,8.110232558139534,0.9785330948121646,0.0017889087656529517,0.0010149908592321755,low_rpm
48,67197,13.423455389377501,11.4964,7.881765843396375,2.464677589773353,0.8557673705671384,0.02361712576454306,0.26213422485001303,high_rpm
49,1266,7.716023143759874,5.5814,7.114243770349874,5.602598736176936,0.9684044233807267,0.007898894154818325,0.02284274061990212,mid_rpm
50,14815,12.380426466419168,10.9052,6.67474946208526,2.532567667904151,0.8633142085723928,0.017279784002699965,0.24823994526974197,high_rpm
51,995,4.872289246231156,3.7705,4.468567366439198,10.879356783919597,0.9809045226130654,0.0020100502512562816,0.0015219262295081968,low_rpm
52,508,9.309775393700788,7.231450000000001,5.717205483496075,4.101062992125985,0.860236220472441,0.007874015748031496,0.15423226544622426,mid_rpm
53,149,5.216790604026845,4.2667,3.612937498512029,8.805503355704698,0.9395973154362416,0.06040268456375839,0.05491714285714285,low_rpm
55,1472,5.3490566576086955,4.0476,4.364294582713309,10.068254076086957,0.9993206521739131,0.0020380434782608695,0.0023564242012236573,low_rpm
56,528,5.437517992424243,4.3056,3.490669125923791,8.013920454545456,0.9772727272727273,0.007575757575757576,0.01458139534883721,low_rpm
60,333,5.598241741741742,4.4156,3.9830755811949397,8.215495495495496,0.972972972972973,0.0,0.0,low_rpm
61,3267,7.676945515763697,5.8333,6.554778851036994,5.613572084481175,0.9862258953168044,0.0009182736455463728,0.004502979515828677,mid_rpm
62,1011,7.5815384767556875,5.8537,6.4414494304452505,5.4036003956478735,0.9920870425321464,0.0019782393669634025,0.005638384845463609,mid_rpm
63,646,6.146045510835914,5.03085,3.9855701273511754,7.135061919504644,0.9922600619195047,0.0030959752321981426,0.005977847113884555,mid_rpm
65,2139,8.05031304347826,6.6277,6.213557875724628,5.506830294530155,0.8457223001402524,0.057971014492753624,0.14031542288557214,mid_rpm
66,1490,7.85191899328859,7.02715,3.58628534771567,4.695825503355705,0.8604026845637583,0.02348993288590604,0.17845171606864274,mid_rpm
67,251,7.430690438247012,5.2,5.90883514924458,6.781593625498008,0.9920318725099602,0.00398406374501992,0.004080722891566265,mid_rpm
68,76735,13.06781669772594,11.6667,6.765049853028271,2.5084088095393238,0.887183162833127,0.015729458526096307,0.2545567980845501,high_rpm
69,1122,6.536918181818182,5.0746,5.412135385336751,6.741916221033868,0.9598930481283422,0.0035650623885918,0.0011100278551532034,mid_rpm
70,7837,6.332493517927778,5.7775,4.122133107159848,9.524784994258008,0.8883501339798392,0.8550465739441113,0.23474829072105718,mid_rpm
71,1453,8.073580729525121,5.9524,7.090550706614537,5.679139710942877,0.9986235375086029,0.0006882312456985547,0.0007698828394210889,mid_rpm
72,1644,7.89029294403893,5.814,7.022658509530708,5.68360097323601,0.9975669099756691,0.0,0.0008657317073170732,mid_rpm
74,7303,9.241767629741203,8.27,5.7894273797867255,3.3747651650006847,0.7713268519786389,0.014377653019307135,0.13415716314574827,mid_rpm
75,19614,10.528658957887222,9.60705,5.533380972915304,2.802916284286734,0.8232894871010503,0.01325583766697257,0.2038152464701511,high_rpm
76,3618,6.708648396904366,5.0909,5.270705821683906,6.8897208402432275,0.9958540630182421,0.0019347705914870095,0.0012011101859561476,mid_rpm
77,985,6.642742030456853,5.0,5.40107835654855,7.108304568527919,0.9969543147208122,0.0,0.001209368635437882,mid_rpm
78,630,5.523804444444444,4.4042,4.27782210156096,8.213111111111111,0.9825396825396825,0.0,0.0003701130856219709,low_rpm
79,64913,12.340733481737093,11.0131,6.396800285686393,2.3399171198373208,0.9011754194075147,0.008210990094434089,0.249113800471811,high_rpm
80,1005,8.996664776119403,6.4286,9.536377757386024,5.299014925373134,0.9203980099502488,0.06069651741293532,0.08329751351351351,mid_rpm
81,435,4.688854942528736,3.7267,3.525264345638315,10.701954022988506,0.9839080459770115,0.0,0.0006210280373831775,low_rpm
82,746,7.07956836461126,5.083349999999999,5.150464073946275,6.300898123324397,0.8739946380697051,0.021447721179624665,0.0348760736196319,mid_rpm
83,338,11.70726597633136,8.00675,9.35834136244028,5.55784023668639,0.849112426035503,0.31952662721893493,0.09620801393728223,high_rpm
85,693,8.616367532467534,6.1538,8.335730875078285,5.54995670995671,0.9927849927849928,0.0,0.0008542151162790698,mid_rpm
86,593,4.721561551433389,3.5294,4.823756165888248,12.734991568296797,0.9966273187183811,0.01854974704890388,0.0017876480541455162,low_rpm
87,15844,9.552733583690987,7.3227,6.411229630607684,4.221950265084574,0.9009088613986367,0.027770764958343852,0.22283590444164214,mid_rpm
88,8991,8.871138349460571,6.9386,5.940349773735929,4.622732732732732,0.8697586475364253,0.019575130686241796,0.21328162404092071,mid_rpm
89,2114,7.575399763481552,5.7143,6.951663981135794,6.1498770104068115,0.988647114474929,0.0023651844843897824,0.003280622009569378,mid_rpm
90,45520,14.358637157293497,13.069,7.197568135073299,2.072152460456942,0.89402460456942,0.01610281195079086,0.26431217810104185,high_rpm
91,1712,7.191973306074767,5.42925,6.036676837112257,6.273942757009346,0.9947429906542056,0.002336448598130841,0.0001810921902524956,mid_rpm
92,556,5.404517985611511,4.1573,4.212426729690294,8.804208633093525,0.9586330935251799,0.02697841726618705,0.007925328330206378,low_rpm
93,568,8.812163204225351,7.270300000000001,7.017920880156939,9.033890845070422,0.823943661971831,0.18838028169014084,0.15860876068376067,mid_rpm
94,235,5.3689485106382975,4.1558,3.2536096047753245,8.895063829787235,0.9744680851063829,0.0,0.0024751091703056768,low_rpm
95,991,6.496006458123108,4.4776,5.579766354277023,7.368869828456105,0.9334006054490414,0.07063572149344097,0.023928216216216217,mid_rpm
97,2279,8.208794295743747,6.7308,6.657840127234819,4.941610355419043,0.8938130759104871,0.008336989907854322,0.08759307805596465,mid_rpm
98,129,6.899367441860465,4.0777,9.042198748672483,8.549302325581394,0.9302325581395349,0.0,0.0,mid_rpm
100,41000,14.50062014390244,12.6961,8.280882906684463,2.4254431707317075,0.8408536585365853,0.028975609756097562,0.25153589847715735,high_rpm
101,127,4.545405511811024,3.5433,5.509656247052414,11.824094488188978,0.937007874015748,0.023622047244094488,0.0037689075630252104,low_rpm
